artist,date,dj,genre,show,timestamp,title
Superdrag,"Nov 21, 2024",Masen,Rock,Outshined,1:27 PM,Blown Away
Alcohol Funnycar,"Nov 21, 2024",Masen,Unknown,Outshined,1:30 PM,Overtaken
Braid,"Nov 21, 2024",Masen,Rock,Outshined,1:33 PM,First Day Back
Smart Went Crazy,"Nov 21, 2024",Masen,Indie Rock,Outshined,1:36 PM,Funny As In Funny Ha-Ha
Rein Sanction,"Nov 21, 2024",Masen,Unknown,Outshined,1:41 PM,Creel
The Spinanes,"Nov 21, 2024",Masen,Unknown,Outshined,1:44 PM,Sunday
The Crabs,"Nov 21, 2024",Masen,Unknown,Outshined,1:47 PM,Tumbling Away
Rex,"Nov 21, 2024",Masen,Unknown,Outshined,1:50 PM,Ride Home
Quickspace,"Nov 21, 2024",Masen,Rock,Outshined,1:55 PM,Goodbye Precious Mountain
The California Poppies,"Dec 5, 2024",Masen,Rock,Outshined,1:02 PM,Modern Art - Demo
Evan Wright,"Dec 5, 2024",Masen,Unknown,Outshined,1:02 PM,People
Reggie Pearl,"Dec 5, 2024",Masen,Unknown,Outshined,1:05 PM,Winter's Greed
Clover County,"Dec 5, 2024",Masen,Unknown,Outshined,1:08 PM,Ultraviolet
Dead Love Triangle,"Dec 5, 2024",Masen,Unknown,Outshined,1:11 PM,Haunting PA
Adult Prom,"Dec 5, 2024",Masen,Unknown,Outshined,1:14 PM,"Baby, You're A Star!"
Thingy,"Dec 12, 2024",Masen,Rock,Outshined,1:01 PM,Mayday
Brainiac,"Dec 12, 2024",Masen,Unknown,Outshined,1:03 PM,NOTH1NG 3V3R CHAN935
P.E.E.,"Dec 12, 2024",Masen,Unknown,Outshined,1:05 PM,Plankton
Thinking Fellers Union Local 282,"Dec 12, 2024",Masen,Unknown,Outshined,1:09 PM,Million Dollars
Panel Donor,"Dec 12, 2024",Masen,Unknown,Outshined,1:13 PM,Very Young Early Small Peas
800 Cherries,"Dec 12, 2024",Masen,Rock,Outshined,1:16 PM,rainy poppy field
800 Cherries,"Dec 12, 2024",Masen,Rock,Outshined,1:17 PM,everybody knows '98
Swirlies,"Dec 12, 2024",Masen,Unknown,Outshined,1:20 PM,Upstairs
Indigo Husk,"Dec 5, 2024",Masen,Unknown,Outshined,1:19 PM,Goes Around Comes Around
Jacklen Ro,"Dec 5, 2024",Masen,Rock,Outshined,1:22 PM,Sunshine I'm Counting on You
Dandelion Head,"Dec 5, 2024",Masen,Pop,Outshined,1:26 PM,Cave Dancer
Frank Zappa,"Dec 5, 2024",Masen,Rock,Outshined,1:31 PM,Valarie
Deadharrie,"Dec 5, 2024",Masen,Indie Pop,Outshined,1:34 PM,My Wishbone
Joy Division,"Dec 5, 2024",Masen,Rock,Outshined,1:38 PM,Decades - 2007 Remastered Version
The Beta Band,"Dec 5, 2024",Masen,Pop,Outshined,1:45 PM,Dry The Rain
Galaxie 500,"Dec 5, 2024",Masen,Rock,Outshined,1:50 PM,Pictures
Banes World,"Dec 5, 2024",Masen,Unknown,Outshined,1:54 PM,You Bet I Stare
New Order,"Dec 5, 2024",Masen,Pop,Outshined,1:57 PM,Blue Monday
Polvo,"Dec 12, 2024",Masen,Unknown,Outshined,1:24 PM,In This Life
Unwound,"Dec 12, 2024",Masen,Unknown,Outshined,1:28 PM,Demons Sing Love Songs
Rocketship,"Dec 12, 2024",Masen,Unknown,Outshined,1:32 PM,I Love You Like the Way That I Used to Do
Majesty Crush,"Dec 12, 2024",Masen,Rock,Outshined,1:36 PM,Boyfriend
Built To Spill,"Dec 12, 2024",Masen,Unknown,Outshined,1:41 PM,I Would Hurt A Fly
The Microphones,"Dec 12, 2024",Masen,Unknown,Outshined,1:47 PM,The Moon
Starflyer 59,"Dec 12, 2024",Masen,Unknown,Outshined,1:52 PM,You're Mean - Gold Album Version
Stereolab,"Dec 12, 2024",Masen,Unknown,Outshined,1:54 PM,Crest
thanks for coming,"Dec 12, 2024",Masen,Rock,Outshined,1:59 PM,friends forever
